id_avis,date,source,produit,texte,texte_clean,texte_final,sentiment,note,langue
AV0001,2026-02-27,mobile,Ordinateur NovaBook,Très bonne expérience simple et efficace,Très bonne expérience simple et efficace,très bon expérience simple et efficace,positif,4,fr
AV0002,2026-01-09,web,SmartPhone X,Très satisfait de mon achat avis,Très satisfait de mon achat avis,très satisfait de mon achat avis,positif,4,fr
AV0003,2026-07-03,réseaux_sociaux,Écouteurs AirSound,Produit parfait rien à signaler,Produit parfait rien à signaler,produit parfaire rien à signaler,positif,4,fr
AV0004,2026-06-28,sav,SmartWatch Pro,Produit excellent je suis très satisfait,Produit excellent je suis très satisfait,produit excellent je être très satisfait,positif,5,fr
AV0005,2026-01-24,sav,SmartPhone X,LA BATTERIE TIENT VRAIMENT BIEN ET L ÉCRAN EST SUPERBE,LA BATTERIE TIENT VRAIMENT BIEN ET L ÉCRAN EST SUPERBE,le batterie tenir vraiment bien et l écran être superbe,positif,5,fr
AV0006,2026-07-26,web,Ordinateur NovaBook,Très satisfait de mon achat,Très satisfait de mon achat,très satisfait de mon achat,positif,5,fr
AV0007,2026-05-22,email,Ordinateur NovaBook,SERVICE CLIENT RÉACTIF ET COMMANDE REÇUE RAPIDEMENT,SERVICE CLIENT RÉACTIF ET COMMANDE REÇUE RAPIDEMENT,service client réactif et commande recevoir rapidement,positif,4,fr
AV0008,2026-06-30,web,SmartPhone X,Très satisfait de mon achat,Très satisfait de mon achat,très satisfait de mon achat,positif,5,fr
AV0009,2026-08-10,web,Écouteurs AirSound,Le produit correspond globalement à la description,Le produit correspond globalement à la description,le produit correspondre globalement à le description,neutre,3,fr
AV0010,2026-04-01,mobile,Ordinateur NovaBook,client Livraison rapide et produit conforme à mes attentes,client Livraison rapide et produit conforme à mes attentes,client livraison rapide et produire conforme à mon attente,positif,5,fr
AV0011,2026-05-17,mobile,SmartPhone Y,Très satisfait de mon achat,Très satisfait de mon achat,très satisfait de mon achat,positif,4,fr
AV0013,2026-03-10,web,SmartPhone Y,La batterie tient vraiment bien et l écran est superbe avis,La batterie tient vraiment bien et l écran est superbe avis,le batterie tenir vraiment bien et l écran être superbe avis,positif,4,fr
AV0014,2026-06-17,sav,Écouteurs AirSound,Mauvaise expérience je ne recommande pas,Mauvaise expérience je ne recommande pas,mauvais expérience je ne recommander pas,negatif,2,fr
AV0015,2026-03-09,mobile,SmartPhone Y,Qualité décevante pour ce prix,Qualité décevante pour ce prix,qualité décevant pour ce prix,negatif,2,fr
AV0016,2026-08-18,réseaux_sociaux,Écouteurs AirSound,Produit correct pour son prix avis,Produit correct pour son prix avis,produit correct pour son prix avis,neutre,4,fr
AV0017,2026-01-24,web,SmartPhone X,Produit parfait rien à signaler,Produit parfait rien à signaler,produit parfaire rien à signaler,positif,5,fr
AV0019,2026-08-09,web,Ordinateur NovaBook,Le produit ne fonctionne déjà plus,Le produit ne fonctionne déjà plus,le produit ne fonctionner déjà plus,negatif,2,fr
